school,close_contact,positive_case,suspected_case,total,date,cluster
Grayson ES,25.0,2.0,4.0,31,3/10/2021,Grayson
Grayson HS,1.0,1.0,0.0,2,3/10/2021,Grayson
Gwin Oaks ES,4.0,0.0,0.0,4,3/10/2021,Brookwood
Harmony ES,7.0,1.0,0.0,8,3/10/2021,Mill Creek
Harris ES,16.0,0.0,2.0,18,3/10/2021,Duluth
Hopkins ES,2.0,0.0,1.0,3,3/10/2021,Berkmar
Ivy Creek ES,1.0,0.0,0.0,1,3/10/2021,Mill Creek
Jackson ES,0.0,1.0,0.0,1,3/10/2021,Peachtree Ridge
Jordan MS,0.0,0.0,1.0,1,3/10/2021,Central Gwinnett
Lovin ES,1.0,0.0,0.0,1,3/10/2021,Archer
Magill ES,3.0,0.0,0.0,3,3/10/2021,South Gwinnett
McClure Health Science HS,1.0,2.0,0.0,3,3/10/2021,Meadowcreek
McConnell MS,1.0,0.0,0.0,1,3/10/2021,Archer Cluster
Meadowcreek HS,6.0,0.0,0.0,6,3/10/2021,Meadowcreek
Minor ES,1.0,2.0,0.0,3,3/10/2021,Berkmar
Moore MS,1.0,0.0,0.0,1,3/10/2021,Central Gwinnett
Mulberry ES,1.0,0.0,0.0,1,3/10/2021,Dacula
Parkview HS,8.0,2.0,2.0,12,3/10/2021,Parkview
Peachtree Ridge HS,3.0,0.0,0.0,3,3/10/2021,Peachtree Ridge
Pharr ES,4.0,0.0,1.0,5,3/10/2021,Grayson
Pinckneyville MS,0.0,0.0,1.0,1,3/10/2021,Norcross
Puckett's Mill ES,1.0,0.0,2.0,3,3/10/2021,Mill Creek
Roberts ES,1.0,0.0,0.0,1,3/10/2021,North Gwinnett
Rock Springs ES,1.0,0.0,0.0,1,3/10/2021,Collins Hill
Rockbridge ES,3.0,0.0,1.0,4,3/10/2021,Meadowcreek
Simonton ES,0.0,0.0,2.0,2,3/10/2021,Central Gwinnett
Simpson ES,12.0,1.0,0.0,13,3/10/2021,Norcross
Sugar Hill ES,6.0,1.0,0.0,7,3/10/2021,Lanier
Sweetwater MS,1.0,0.0,0.0,1,3/10/2021,Berkmar
Taylor ES,1.0,0.0,0.0,1,3/10/2021,Collins Hill
Trickum MS,1.0,0.0,0.0,1,3/10/2021,Parkview
Woodward Mill ES,0.0,0.0,1.0,1,3/10/2021,Mountain View
Alcova ES,22.0,0.0,2.0,24,9/10/2020,Dacula
Alford ES,1.0,0.0,0.0,1,9/10/2020,Discovery
Archer HS,1.0,0.0,0.0,1,9/10/2020,Archer
Berkmar HS,1.0,0.0,0.0,1,9/10/2020,Berkmar
Berkmar MS,0.0,1.0,0.0,1,9/10/2020,Berkmar
Bethesda ES,8.0,0.0,2.0,10,9/10/2020,Berkmar
Brookwood ES,1.0,0.0,0.0,1,9/10/2020,Brookwood
Brookwood HS,3.0,0.0,0.0,3,9/10/2020,Brookwood
Chattahoochee ES,9.0,0.0,1.0,10,9/10/2020,Duluth
Collins Hill HS,0.0,0.0,1.0,1,9/10/2020,Collins Hill
