school,close_contact,positive_case,suspected_case,total,date,cluster
Partee ES,7.0,1.0,0.0,8,12/21/2020,Shiloh
Patrick ES,9.0,3.0,2.0,14,12/21/2020,Mountain View
Paul Duke STEM HS,2.0,2.0,1.0,5,12/21/2020,Norcross
Peachtree ES,6.0,0.0,2.0,8,12/21/2020,Norcross
Peachtree Ridge HS,5.0,1.0,1.0,7,12/21/2020,Peachtree Ridge
Pharr ES,24.0,2.0,2.0,28,12/21/2020,Grayson
Phoenix HS,0.0,0.0,0.0,0,12/21/2020,Other
Pinckneyville MS,22.0,1.0,1.0,24,12/21/2020,Norcross
Puckett's Mill ES,24.0,1.0,2.0,27,12/21/2020,Mill Creek
Radloff MS,2.0,1.0,0.0,3,12/21/2020,Meadowcreek
Richards MS,28.0,0.0,4.0,32,12/21/2020,Discovery
Riverside ES,59.0,1.0,4.0,64,12/21/2020,North Gwinnett
Roberts ES,15.0,1.0,0.0,16,12/21/2020,North Gwinnett
Rock Springs ES,9.0,1.0,1.0,11,12/21/2020,Collins Hill
Rockbridge ES,8.0,1.0,1.0,10,12/21/2020,Meadowcreek
Rosebud ES,41.0,1.0,3.0,45,12/21/2020,South Gwinnett
Shiloh ES,29.0,2.0,3.0,34,12/21/2020,Shiloh
Shiloh HS,8.0,1.0,1.0,10,12/21/2020,Shiloh
Shiloh MS,39.0,4.0,1.0,44,12/21/2020,Shiloh
Simonton ES,16.0,1.0,0.0,17,12/21/2020,Central Gwinnett
Simpson ES,8.0,1.0,1.0,10,12/21/2020,Norcross
Snellville MS,47.0,2.0,1.0,50,12/21/2020,South Gwinnett
South Gwinnett HS,35.0,2.0,7.0,44,12/21/2020,South Gwinnett
Starling ES,7.0,1.0,1.0,9,12/21/2020,Grayson
Stripling ES,5.0,2.0,4.0,11,12/21/2020,Norcross
Sugar Hill ES,22.0,0.0,6.0,28,12/21/2020,Lanier
Summerour MS,4.0,1.0,0.0,5,12/21/2020,Norcross
Suwanee ES,7.0,0.0,0.0,7,12/21/2020,North Gwinnett
Sweetwater MS,12.0,1.0,0.0,13,12/21/2020,Berkmar
Sycamore ES,28.0,2.0,4.0,34,12/21/2020,Lanier
Taylor ES,10.0,0.0,0.0,10,12/21/2020,Collins Hill
Trickum MS,29.0,2.0,2.0,33,12/21/2020,Parkview
Trip ES,52.0,1.0,1.0,54,12/21/2020,Grayson
Twin Rivers MS,6.0,3.0,1.0,10,12/21/2020,Mountain View
Walnut Grove ES,0.0,1.0,0.0,1,12/21/2020,Collins Hill
White Oak ES,16.0,1.0,3.0,20,12/21/2020,Lanier
Winn Holt ES,17.0,0.0,1.0,18,12/21/2020,Central Gwinnett
Woodward Mill ES,6.0,0.0,1.0,7,12/21/2020,Mountain View
Alcova ES,11.0,1.0,3.0,15,1/21/2021,Dacula
Alford ES,53.0,4.0,2.0,59,1/21/2021,Discovery
Anderson-Livsey ES,1.0,2.0,0.0,3,1/21/2021,Shiloh
Annistown ES,51.0,4.0,0.0,55,1/21/2021,Shiloh
Arcado ES,5.0,0.0,1.0,6,1/21/2021,Parkview
Archer HS,69.0,12.0,6.0,87,1/21/2021,Archer
Baggett ES,23.0,0.0,2.0,25,1/21/2021,Discovery
Baldwin ES,1.0,6.0,0.0,7,1/21/2021,Norcross
Bay Creek MS,15.0,4.0,1.0,20,1/21/2021,Grayson
Beaver Ridge ES,47.0,5.0,2.0,54,1/21/2021,Norcross
Benefield ES,31.0,2.0,0.0,33,1/21/2021,Discovery
Berkeley Lake ES,9.0,2.0,0.0,11,1/21/2021,Duluth
Berkmar HS,10.0,3.0,4.0,17,1/21/2021,Berkmar
Berkmar MS,40.0,4.0,10.0,54,1/21/2021,Berkmar
Bethesda ES,12.0,3.0,2.0,17,1/21/2021,Berkmar
Britt ES,9.0,0.0,4.0,13,1/21/2021,South Gwinnett
Brookwood ES,34.0,2.0,1.0,37,1/21/2021,Brookwood
Brookwood HS,70.0,10.0,2.0,82,1/21/2021,Brookwood
Buice Center,6.0,1.0,2.0,9,1/21/2021,Other
Burnette ES,3.0,1.0,2.0,6,1/21/2021,North Gwinnett
Camp Creek ES,68.0,4.0,3.0,75,1/21/2021,Parkview
Cedar Hill ES,14.0,3.0,0.0,17,1/21/2021,Discovery
Centerville ES,10.0,0.0,3.0,13,1/21/2021,Shiloh
Central Gwinnett HS,14.0,4.0,2.0,20,1/21/2021,Central Gwinnett
Chattahoochee ES,46.0,9.0,8.0,63,1/21/2021,Duluth
Chesney ES,9.0,1.0,3.0,13,1/21/2021,Duluth
Coleman MS,17.0,2.0,1.0,20,1/21/2021,Duluth
Collins Hill HS,33.0,9.0,4.0,46,1/21/2021,Collins Hill
Cooper ES,16.0,0.0,0.0,16,1/21/2021,Archer
Corley ES,5.0,1.0,3.0,9,1/21/2021,Berkmar
Couch MS,6.0,4.0,1.0,11,1/21/2021,Grayson
Craig ES,23.0,2.0,2.0,27,1/21/2021,Brookwood
Creekland MS,18.0,5.0,11.0,34,1/21/2021,Collins Hill
Crews MS,33.0,2.0,0.0,35,1/21/2021,Brookwood
Dacula ES,19.0,2.0,7.0,28,1/21/2021,Dacula
Dacula HS,17.0,3.0,3.0,23,1/21/2021,Dacula
Dacula MS,40.0,6.0,2.0,48,1/21/2021,Dacula
Discovery HS,15.0,9.0,2.0,26,1/21/2021,Discovery
Duluth HS,74.0,3.0,13.0,90,1/21/2021,Duluth
Duluth MS,16.0,0.0,5.0,21,1/21/2021,Duluth
Duncan Creek ES,15.0,0.0,0.0,15,1/21/2021,Mill Creek
Dyer ES,21.0,1.0,2.0,24,1/21/2021,Mountain View
Ferguson ES,20.0,2.0,1.0,23,1/21/2021,Meadowcreek
Five Forks MS,59.0,3.0,0.0,62,1/21/2021,Brookwood
Fort Daniel ES,4.0,2.0,0.0,6,1/21/2021,Mill Creek
Freeman's Mill ES,11.0,1.0,0.0,12,1/21/2021,Mountain View
GIVE East,1.0,1.0,1.0,3,1/21/2021,Other
GIVE West,8.0,1.0,5.0,14,1/21/2021,Other
Grace Snell MS,3.0,1.0,2.0,6,1/21/2021,South Gwinnett
Graves ES,3.0,3.0,2.0,8,1/21/2021,Meadowcreek
Grayson ES,9.0,2.0,3.0,14,1/21/2021,Grayson
Grayson HS,35.0,9.0,2.0,46,1/21/2021,Grayson
Gwin Oaks ES,10.0,5.0,0.0,15,1/21/2021,Brookwood
Gwinnett Online Campus,4.0,0.0,1.0,5,1/21/2021,Other
"Gwinnett School of Mathematics, Science, and Technology",2.0,0.0,1.0,3,1/21/2021,Discovery
Harbins ES,58.0,8.0,7.0,73,1/21/2021,Archer
Harmony ES,4.0,0.0,1.0,5,1/21/2021,Mill Creek
Harris ES,9.0,1.0,0.0,10,1/21/2021,Duluth
Head ES,10.0,1.0,0.0,11,1/21/2021,Brookwood
Hopkins ES,44.0,7.0,0.0,51,1/21/2021,Berkmar
Hull MS,12.0,3.0,2.0,17,1/21/2021,Peachtree Ridge
International Transition Center,13.0,1.0,2.0,16,1/21/2021,Other
Ivy Creek ES,18.0,2.0,2.0,22,1/21/2021,Mill Creek
Jackson ES,22.0,5.0,0.0,27,1/21/2021,Peachtree Ridge
Jenkins ES,1.0,4.0,3.0,8,1/21/2021,Central Gwinnett
Jones MS,6.0,0.0,3.0,9,1/21/2021,Mill Creek
Jordan MS,2.0,3.0,3.0,8,1/21/2021,Central Gwinnett
Kanoheda ES,18.0,4.0,0.0,22,1/21/2021,Berkmar
Knight ES,27.0,3.0,4.0,34,1/21/2021,Parkview
Lanier HS,44.0,3.0,4.0,51,1/21/2021,Lanier
Lanier MS,47.0,5.0,2.0,54,1/21/2021,Lanier
Lawrenceville ES,2.0,4.0,0.0,6,1/21/2021,Central Gwinnett
Level Creek ES,5.0,2.0,0.0,7,1/21/2021,North Gwinnett
Lilburn ES,7.0,1.0,1.0,9,1/21/2021,Meadowcreek
Lilburn MS,16.0,2.0,6.0,24,1/21/2021,Meadowcreek
Lovin ES,10.0,0.0,0.0,10,1/21/2021,Archer
Magill ES,15.0,1.0,2.0,18,1/21/2021,South Gwinnett
Mason ES,8.0,3.0,3.0,14,1/21/2021,Peachtree Ridge
Maxwell,1.0,0.0,0.0,1,1/21/2021,Other
McClure Health Science HS,4.0,0.0,1.0,5,1/21/2021,Meadowcreek
McConnell MS,15.0,1.0,2.0,18,1/21/2021,Archer Cluster
McKendree ES,78.0,11.0,2.0,91,1/21/2021,Collins Hill
Meadowcreek ES,21.0,4.0,3.0,28,1/21/2021,Meadowcreek
Meadowcreek HS,14.0,2.0,5.0,21,1/21/2021,Meadowcreek
Mill Creek HS,170.0,11.0,2.0,183,1/21/2021,Mill Creek
Minor ES,20.0,5.0,3.0,28,1/21/2021,Berkmar
Moore MS,6.0,3.0,3.0,12,1/21/2021,Central Gwinnett
Mountain Park ES,19.0,2.0,1.0,22,1/21/2021,Parkview
Mountain View HS,68.0,4.0,5.0,77,1/21/2021,Mountain View
Mulberry ES,31.0,4.0,3.0,38,1/21/2021,Dacula
Nesbit ES,6.0,2.0,2.0,10,1/21/2021,Meadowcreek
Norcross ES,44.0,2.0,3.0,49,1/21/2021,Norcross
Norcross HS,60.0,2.0,3.0,65,1/21/2021,Norcross
North Gwinnett HS,52.0,7.0,10.0,69,1/21/2021,North Gwinnett
North Gwinnett MS,27.0,4.0,6.0,37,1/21/2021,North Gwinnett
Northbrook MS,27.0,3.0,1.0,31,1/21/2021,Peachtree Ridge
Norton ES,34.0,4.0,0.0,38,1/21/2021,South Gwinnett
Oakland Meadow School,0.0,0.0,0.0,0,1/21/2021,Other
Osborne MS,55.0,6.0,2.0,63,1/21/2021,Mill Creek
Parkview HS,35.0,4.0,12.0,51,1/21/2021,Parkview
Parsons ES,4.0,1.0,6.0,11,1/21/2021,Peachtree Ridge
Partee ES,3.0,0.0,0.0,3,1/21/2021,Shiloh
Patrick ES,4.0,1.0,0.0,5,1/21/2021,Mountain View
Paul Duke STEM HS,0.0,3.0,0.0,3,1/21/2021,Norcross
Peachtree ES,43.0,1.0,5.0,49,1/21/2021,Norcross
Peachtree Ridge HS,14.0,6.0,1.0,21,1/21/2021,Peachtree Ridge
Pharr ES,9.0,1.0,0.0,10,1/21/2021,Grayson
Phoenix HS,2.0,1.0,0.0,3,1/21/2021,Other
Pinckneyville MS,44.0,3.0,5.0,52,1/21/2021,Norcross
Puckett's Mill ES,22.0,5.0,6.0,33,1/21/2021,Mill Creek
Radloff MS,2.0,2.0,2.0,6,1/21/2021,Meadowcreek
Richards MS,58.0,11.0,7.0,76,1/21/2021,Discovery
Riverside ES,4.0,1.0,1.0,6,1/21/2021,North Gwinnett
Roberts ES,8.0,2.0,2.0,12,1/21/2021,North Gwinnett
Rock Springs ES,23.0,5.0,0.0,28,1/21/2021,Collins Hill
Rockbridge ES,32.0,1.0,4.0,37,1/21/2021,Meadowcreek
Rosebud ES,45.0,6.0,6.0,57,1/21/2021,South Gwinnett
Shiloh ES,6.0,1.0,0.0,7,1/21/2021,Shiloh
Shiloh HS,6.0,3.0,0.0,9,1/21/2021,Shiloh
Shiloh MS,6.0,2.0,1.0,9,1/21/2021,Shiloh
Simonton ES,64.0,5.0,1.0,70,1/21/2021,Central Gwinnett
Simpson ES,3.0,0.0,0.0,3,1/21/2021,Norcross
Snellville MS,25.0,3.0,0.0,28,1/21/2021,South Gwinnett
South Gwinnett HS,26.0,4.0,2.0,32,1/21/2021,South Gwinnett
Starling ES,41.0,3.0,3.0,47,1/21/2021,Grayson
Stripling ES,8.0,3.0,2.0,13,1/21/2021,Norcross
Sugar Hill ES,11.0,3.0,0.0,14,1/21/2021,Lanier
Summerour MS,9.0,1.0,4.0,14,1/21/2021,Norcross
Suwanee ES,1.0,0.0,1.0,2,1/21/2021,North Gwinnett
Sweetwater MS,9.0,4.0,4.0,17,1/21/2021,Berkmar
Sycamore ES,41.0,4.0,5.0,50,1/21/2021,Lanier
Taylor ES,9.0,2.0,0.0,11,1/21/2021,Collins Hill
Trickum MS,26.0,4.0,2.0,32,1/21/2021,Parkview
Trip ES,46.0,2.0,1.0,49,1/21/2021,Grayson
Twin Rivers MS,117.0,6.0,2.0,125,1/21/2021,Mountain View
Walnut Grove ES,17.0,2.0,0.0,19,1/21/2021,Collins Hill
White Oak ES,17.0,1.0,4.0,22,1/21/2021,Lanier
Winn Holt ES,30.0,3.0,3.0,36,1/21/2021,Central Gwinnett
Woodward Mill ES,2.0,1.0,0.0,3,1/21/2021,Mountain View
Alcova ES,2.0,0.0,0.0,2,4/21/2021,Dacula
Alford ES,1.0,0.0,1.0,2,4/21/2021,Discovery
Anderson-Livsey ES,0.0,0.0,0.0,0,4/21/2021,Shiloh
Annistown ES,0.0,0.0,0.0,0,4/21/2021,Shiloh
Arcado ES,2.0,0.0,0.0,2,4/21/2021,Parkview
Archer HS,0.0,0.0,0.0,0,4/21/2021,Archer
Baggett ES,0.0,0.0,0.0,0,4/21/2021,Discovery
Baldwin ES,2.0,1.0,0.0,3,4/21/2021,Norcross
Bay Creek MS,3.0,1.0,0.0,4,4/21/2021,Grayson
Beaver Ridge ES,1.0,0.0,0.0,1,4/21/2021,Norcross
Benefield ES,1.0,0.0,0.0,1,4/21/2021,Discovery
Berkeley Lake ES,4.0,0.0,0.0,4,4/21/2021,Duluth
Berkmar HS,0.0,1.0,0.0,1,4/21/2021,Berkmar
Berkmar MS,28.0,0.0,6.0,34,4/21/2021,Berkmar
Bethesda ES,0.0,0.0,0.0,0,4/21/2021,Berkmar
Britt ES,2.0,0.0,0.0,2,4/21/2021,South Gwinnett
Brookwood ES,1.0,0.0,0.0,1,4/21/2021,Brookwood
Brookwood HS,3.0,1.0,0.0,4,4/21/2021,Brookwood
Buice Center,0.0,0.0,0.0,0,4/21/2021,Other
Burnette ES,3.0,0.0,3.0,6,4/21/2021,North Gwinnett
Camp Creek ES,3.0,1.0,0.0,4,4/21/2021,Parkview
Cedar Hill ES,32.0,2.0,0.0,34,4/21/2021,Discovery
Centerville ES,0.0,0.0,0.0,0,4/21/2021,Shiloh
Central Gwinnett HS,0.0,0.0,0.0,0,4/21/2021,Central Gwinnett
Chattahoochee ES,1.0,0.0,0.0,1,4/21/2021,Duluth
Chesney ES,3.0,0.0,0.0,3,4/21/2021,Duluth
Coleman MS,1.0,0.0,0.0,1,4/21/2021,Duluth
Collins Hill HS,3.0,1.0,0.0,4,4/21/2021,Collins Hill
Cooper ES,0.0,0.0,0.0,0,4/21/2021,Archer
Corley ES,3.0,0.0,0.0,3,4/21/2021,Berkmar
Couch MS,0.0,0.0,0.0,0,4/21/2021,Grayson
Craig ES,0.0,0.0,0.0,0,4/21/2021,Brookwood
Creekland MS,0.0,0.0,0.0,0,4/21/2021,Collins Hill
Crews MS,2.0,0.0,0.0,2,4/21/2021,Brookwood
Dacula ES,4.0,0.0,0.0,4,4/21/2021,Dacula
Dacula HS,1.0,2.0,1.0,4,4/21/2021,Dacula
Dacula MS,32.0,3.0,2.0,37,4/21/2021,Dacula
Discovery HS,3.0,2.0,1.0,6,4/21/2021,Discovery
